5.1,3.5,1.4,0.2,Iris-setosa | 0,0,NaN
6.3,2.3,4.4,1.3,Iris-versicolor | 87,0,NaN
5.6,3.0,4.1,1.3,Iris-versicolor | 88,0,NaN
5.5,2.5,4.0,1.3,Iris-versicolor | 89,0,NaN
5.5,2.6,4.4,1.2,Iris-versicolor | 90,0,NaN
6.1,3.0,4.6,1.4,Iris-versicolor | 91,0,NaN
5.8,2.6,4.0,1.2,Iris-versicolor | 92,0,NaN
5.0,2.3,3.3,1.0,Iris-versicolor | 93,0,NaN
5.6,2.7,4.2,1.3,Iris-versicolor | 94,0,NaN
5.7,3.0,4.2,1.2,Iris-versicolor | 95,0,NaN
5.7,2.9,4.2,1.3,Iris-versicolor | 96,0,NaN
6.2,2.9,4.3,1.3,Iris-versicolor | 97,0,NaN
5.1,2.5,3.0,1.1,Iris-versicolor | 98,0,NaN
5.7,2.8,4.1,1.3,Iris-versicolor | 99,0,NaN
6.3,3.3,6.0,2.5,Iris-virginica | 100,0,NaN
5.8,2.7,5.1,1.9,Iris-virginica | 101,0,NaN
7.1,3.0,5.9,2.1,Iris-virginica | 102,0,NaN
6.3,2.9,5.6,1.8,Iris-virginica | 103,0,NaN
6.5,3.0,5.8,2.2,Iris-virginica | 104,0,NaN
7.6,3.0,6.6,2.1,Iris-virginica | 105,0,NaN
4.9,2.5,4.5,1.7,Iris-virginica | 106,0,NaN
7.3,2.9,6.3,1.8,Iris-virginica | 107,0,NaN
6.7,2.5,5.8,1.8,Iris-virginica | 108,0,NaN
7.2,3.6,6.1,2.5,Iris-virginica | 109,0,NaN
6.5,3.2,5.1,2.0,Iris-virginica | 110,0,NaN
6.4,2.7,5.3,1.9,Iris-virginica | 111,0,NaN
6.8,3.0,5.5,2.1,Iris-virginica | 112,0,NaN
5.7,2.5,5.0,2.0,Iris-virginica | 113,0,NaN
5.8,2.8,5.1,2.4,Iris-virginica | 114,0,NaN
6.4,3.2,5.3,2.3,Iris-virginica | 115,0,NaN
6.5,3.0,5.5,1.8,Iris-virginica | 116,0,NaN
7.7,3.8,6.7,2.2,Iris-virginica | 117,0,NaN
7.7,2.6,6.9,2.3,Iris-virginica | 118,0,NaN
6.0,2.2,5.0,1.5,Iris-virginica | 119,0,NaN
6.9,3.2,5.7,2.3,Iris-virginica | 120,0,NaN
5.6,2.8,4.9,2.0,Iris-virginica | 121,0,NaN
7.7,2.8,6.7,2.0,Iris-virginica | 122,0,NaN
6.3,2.7,4.9,1.8,Iris-virginica | 123,0,NaN
6.7,3.3,5.7,2.1,Iris-virginica | 124,0,NaN
7.2,3.2,6.0,1.8,Iris-virginica | 125,0,NaN
6.2,2.8,4.8,1.8,Iris-virginica | 126,0,NaN
6.1,3.0,4.9,1.8,Iris-virginica | 127,0,NaN
6.4,2.8,5.6,2.1,Iris-virginica | 128,0,NaN
7.2,3.0,5.8,1.6,Iris-virginica | 129,0,NaN
7.4,2.8,6.1,1.9,Iris-virginica | 130,0,NaN
7.9,3.8,6.4,2.0,Iris-virginica | 131,0,NaN
6.4,2.8,5.6,2.2,Iris-virginica | 132,0,NaN
6.3,2.8,5.1,1.5,Iris-virginica | 133,0,NaN
6.1,2.6,5.6,1.4,Iris-virginica | 134,0,NaN
7.7,3.0,6.1,2.3,Iris-virginica | 135,0,NaN
6.3,3.4,5.6,2.4,Iris-virginica | 136,0,NaN
6.4,3.1,5.5,1.8,Iris-virginica | 137,0,NaN
6.0,3.0,4.8,1.8,Iris-virginica | 138,0,NaN
6.9,3.1,5.4,2.1,Iris-virginica | 139,0,NaN
6.7,3.1,5.6,2.4,Iris-virginica | 140,0,NaN
6.9,3.1,5.1,2.3,Iris-virginica | 141,0,NaN
5.8,2.7,5.1,1.9,Iris-virginica | 142,0,NaN
6.8,3.2,5.9,2.3,Iris-virginica | 143,0,NaN
6.7,3.3,5.7,2.5,Iris-virginica | 144,0,NaN
6.7,3.0,5.2,2.3,Iris-virginica | 145,0,NaN
6.3,2.5,5.0,1.9,Iris-virginica | 146,0,NaN
6.5,3.0,5.2,2.0,Iris-virginica | 147,0,NaN
6.2,3.4,5.4,2.3,Iris-virginica | 148,0,NaN
5.9,3.0,5.1,1.8,Iris-virginica | 149,0,NaN
